bike_rack,id,latitude,longitude,name,parking,service_line,service_lines_detailed,wheelchair_accessible
TRUE,1,39.9971867,-75.1552516,North Philadelphia Station,FALSE,Broad Street Line,Broad Street Line,TRUE
FALSE,2,39.987022,-75.156027,Susquehanna-Dauphin Station,FALSE,Broad Street Line,Broad Street Line,FALSE
TRUE,3,39.9787028,-75.1578545,Cecil B. Moore Station,FALSE,Broad Street Line,Broad Street Line,TRUE
FALSE,4,39.97145868,-75.16128738,Girard Station,FALSE,Broad Street Line,Broad Street Line,TRUE
FALSE,5,39.9667214,-75.1604896,Fairmount Station,FALSE,Broad Street Line,Broad Street Line,FALSE
FALSE,6,39.9623747,-75.1617103,Spring Garden Station,FALSE,Broad Street Line,Broad Street Line,TRUE
FALSE,7,39.9575278,-75.162342,Race-Vine Station,FALSE,Broad Street Line,Broad Street Line,TRUE
TRUE,8,40.0245488,-75.147881,Wyoming Station,FALSE,Broad Street Line,Broad Street Line,FALSE
TRUE,9,39.9509749,-75.1535107,8th Street Station,FALSE,Market-Frankford Line,Market-Frankford Line,TRUE
FALSE,11,39.9493719,-75.1644572,Walnut-Locust Station,FALSE,Broad Street Line,Broad Street Line,TRUE
TRUE,12,40.016933,-75.149483,Hunting Park Station,FALSE,Broad Street Line,Broad Street Line,FALSE
TRUE,14,39.952465,-75.164062,City Hall Station,FALSE,Broad Street Line,Broad Street Line,FALSE
TRUE,16,40.0094051,-75.1514199,Erie Station,FALSE,Broad Street Line,Broad Street Line,FALSE
TRUE,17,40.0415476,-75.1351024,Fern Rock Transportation Center,TRUE,Broad Street Line,Broad Street Line,TRUE
TRUE,18,40.0387783,-75.1444341,Olney Transportation Center,FALSE,Broad Street Line,Broad Street Line,TRUE
TRUE,19,39.9437859,-75.1654817,Lombard-South Station,FALSE,Broad Street Line,Broad Street Line,FALSE
TRUE,20,39.936189,-75.1671304,Ellsworth-Federal Station,FALSE,Broad Street Line,Broad Street Line,FALSE
TRUE,21,39.9298036,-75.1685159,Tasker-Morris Station,FALSE,Broad Street Line,Broad Street Line,FALSE
TRUE,22,39.9243588,-75.1697091,Snyder Station,FALSE,Broad Street Line,Broad Street Line,FALSE
TRUE,23,39.9168147,-75.1711282,Oregon Station,FALSE,Broad Street Line,Broad Street Line,TRUE
TRUE,24,39.905082,-75.1732357,NRG Station,FALSE,Broad Street Line,Broad Street Line,TRUE
TRUE,26,40.0015051,-75.1531295,Allegheny Station,FALSE,Broad Street Line,Broad Street Line,TRUE
TRUE,27,40.0299677,-75.1466785,Logan Station,FALSE,Broad Street Line,Broad Street Line,FALSE
FALSE,2,40.016869,-75.084202,Arrott Transportation Center,FALSE,Market-Frankford Line,Market-Frankford Line,TRUE
TRUE,3,40.0104751,-75.0889715,Church Station,FALSE,Market-Frankford Line,Market-Frankford Line,TRUE
TRUE,4,40.0060269,-75.0963976,Erie-Torresdale Station,FALSE,Market-Frankford Line,Market-Frankford Line,TRUE
TRUE,5,40.0002974,-75.106573,Tioga Station,FALSE,Market-Frankford Line,Market-Frankford Line,TRUE
TRUE,6,39.9963677,-75.1139736,Allegheny Station,FALSE,Market-Frankford Line,Market-Frankford Line,TRUE
TRUE,7,39.9914837,-75.1226218,Somerset Station,FALSE,Market-Frankford Line,Market-Frankford Line,TRUE
TRUE,8,39.988803,-75.127274,Huntingdon Station,FALSE,Market-Frankford Line,Market-Frankford Line,TRUE
TRUE,9,39.985162,-75.1321778,York-Dauphin Station,FALSE,Market-Frankford Line,Market-Frankford Line,TRUE
TRUE,10,39.978626,-75.133448,Berks Station,FALSE,Market-Frankford Line,Market-Frankford Line,TRUE
TRUE,11,39.9692414,-75.1361803,Girard Station,FALSE,Market-Frankford Line,Market-Frankford Line,TRUE
TRUE,12,39.9605406,-75.1403588,Spring Garden Station,FALSE,Market-Frankford Line,Market-Frankford Line,FALSE
TRUE,13,39.9499086,-75.143766,2nd Street Station,FALSE,Market-Frankford Line,Market-Frankford Line,TRUE
TRUE,14,39.9505596,-75.1489336,5th Street/Independence Hall Station,FALSE,Market-Frankford Line,Market-Frankford Line,TRUE
TRUE,15,39.9509749,-75.1535107,8th Street Station,FALSE,Market-Frankford Line,Market-Frankford Line,TRUE
TRUE,16,39.951764,-75.158322,11th Street Station,FALSE,Market-Frankford Line,Market-Frankford Line,FALSE
TRUE,17,39.952532,-75.162559,13th Street Station,FALSE,Market-Frankford Line,Market-Frankford Line,TRUE
TRUE,18,39.9525184,-75.1653391,15th Street Station,FALSE,Market-Frankford Line,Market-Frankford Line,TRUE
TRUE,19,39.9557799,-75.1819683,30th Street Station,FALSE,Market-Frankford Line,Market-Frankford Line,TRUE
TRUE,20,39.9558604,-75.1914727,34th Street Station,FALSE,Market-Frankford Line,Market-Frankford Line,FALSE
TRUE,21,39.9571644,-75.2019564,40th Street Station,FALSE,Market-Frankford Line,Market-Frankford Line,TRUE
TRUE,22,39.9585945,-75.2140298,46th Street Station,FALSE,Market-Frankford Line,Market-Frankford Line,TRUE
TRUE,23,39.959951,-75.2248951,52nd Street Station,FALSE,Market-Frankford Line,Market-Frankford Line,TRUE
TRUE,24,39.960962,-75.232859,56th Street Station,FALSE,Market-Frankford Line,Market-Frankford Line,TRUE
TRUE,25,39.962027,-75.240757,60th Street Station,FALSE,Market-Frankford Line,Market-Frankford Line,TRUE
TRUE,26,39.962714,-75.246767,63rd Street Station,FALSE,Market-Frankford Line,Market-Frankford Line,TRUE
TRUE,27,39.9643947,-75.2524045,Millbourne Station,FALSE,Market-Frankford Line,Market-Frankford Line,TRUE
TRUE,29,40.02308398,-75.07766969,Frankford Transportation Center,TRUE,Market-Frankford Line,Market-Frankford Line,TRUE
TRUE,28,39.9621514,-75.2595532,69th Street Transportation Center,TRUE,Market-Frankford Line,Market-Frankford Line,TRUE
TRUE,1,40.1128127,-75.343734,Norristown Transportation Center Station,FALSE,Norristown High Speed Line,Norristown High Speed Line,TRUE
FALSE,1,40.1048936,-75.3482236,Bridgeport Station,FALSE,Norristown High Speed Line,Norristown High Speed Line,FALSE
FALSE,2,40.0988236,-75.3521375,Dekalb Street Station,TRUE,Norristown High Speed Line,Norristown High Speed Line,FALSE
FALSE,3,40.0812829,-75.34886,Hughes Park Station,FALSE,Norristown High Speed Line,Norristown High Speed Line,FALSE
FALSE,4,40.070878,-75.3423135,Gulph Mills Station,TRUE,Norristown High Speed Line,Norristown High Speed Line,TRUE
FALSE,5,40.0582567,-75.3395342,Matsonford Station,TRUE,Norristown High Speed Line,Norristown High Speed Line,FALSE
FALSE,6,40.050117,-75.347424,County Line Station,FALSE,Norristown High Speed Line,Norristown High Speed Line,FALSE
TRUE,7,40.0420402,-75.3535261,Radnor Station,TRUE,Norristown High Speed Line,Norristown High Speed Line,FALSE
FALSE,8,40.038794,-75.3422186,Villanova Station,TRUE,Norristown High Speed Line,Norristown High Speed Line,FALSE
FALSE,9,40.0326965,-75.3407222,Stadium Station,FALSE,Norristown High Speed Line,Norristown High Speed Line,TRUE
FALSE,10,40.04369736,-75.38132477,Garrett Hill Station,FALSE,Norristown High Speed Line,Norristown High Speed Line,FALSE
FALSE,11,40.0214504,-75.3302311,Roberts Road Station,FALSE,Norristown High Speed Line,Norristown High Speed Line,FALSE
TRUE,12,40.0179937,-75.3231912,Bryn Mawr Station,TRUE,Norristown High Speed Line,Norristown High Speed Line,FALSE
TRUE,13,40.009768,-75.315182,Haverford Station,TRUE,Norristown High Speed Line,Norristown High Speed Line,FALSE
TRUE,14,39.9998878,-75.3095571,Ardmore Avenue Station,TRUE,Norristown High Speed Line,Norristown High Speed Line,FALSE
TRUE,15,39.99619,-75.302998,Ardmore Junction Station,TRUE,Norristown High Speed Line,Norristown High Speed Line,FALSE
FALSE,16,39.9933524,-75.2980303,Wynnewood Road Station,TRUE,Norristown High Speed Line,Norristown High Speed Line,TRUE
TRUE,17,39.986548,-75.291448,Beechwood-Brookline Station,FALSE,Norristown High Speed Line,Norristown High Speed Line,FALSE
TRUE,18,39.981015,-75.28404,Penfield Station,FALSE,Norristown High Speed Line,Norristown High Speed Line,FALSE
FALSE,19,39.974773,-75.281619,Township Line Road Station,FALSE,Norristown High Speed Line,Norristown High Speed Line,FALSE
FALSE,20,39.9687157,-75.2741416,Parkview Station,FALSE,Norristown High Speed Line,Norristown High Speed Line,FALSE
FALSE,1,39.9128272,-75.2546956,Darby Station,TRUE,Regional Rail,Wilmington/Newark Line Regional Rail,FALSE
TRUE,2,40.0575151,-75.19474,Allen Lane Station,TRUE,Regional Rail,Chestnut Hill West Regional Rail,TRUE
TRUE,3,40.2577778,-74.8152778,West Trenton Station,TRUE,Regional Rail,West Trenton Line Regional Rail,FALSE
TRUE,4,40.0021519,-75.7107696,Downingtown Station,TRUE,Regional Rail,Paoli/Thorndale Line Regional Rail,FALSE
TRUE,5,40.1074981,-75.1107238,Rydal Station,TRUE,Regional Rail,West Trenton Line Regional Rail,FALSE
TRUE,6,40.1141695,-75.1532475,Ardsley Station,TRUE,Regional Rail,Warminster Line Regional Rail,TRUE
TRUE,7,40.0328782,-75.0238396,Holmesburg Junction Station,TRUE,Regional Rail,Trenton Line Regional Rail,FALSE
TRUE,8,40.1044726,-75.1246647,Noble Station,TRUE,Regional Rail,West Trenton Line Regional Rail,FALSE
TRUE,9,39.8493373,-75.3599328,Chester Transportation Center Station,FALSE,Regional Rail,Wilmington/Newark Line Regional Rail,TRUE
TRUE,10,40.1170857,-75.3487515,Main Street-Norristown Station,TRUE,Regional Rail,Manayunk/Norristown Line Regional Rail,FALSE
TRUE,11,39.737065,-75.5509093,Wilmington Station,TRUE,Regional Rail,Wilmington/Newark Line Regional Rail,TRUE
TRUE,12,40.0377172,-75.1719098,Germantown Station,TRUE,Regional Rail,Chestnut Hill East Regional Rail,FALSE
TRUE,13,40.0366438,-75.5154752,Malvern Station,TRUE,Regional Rail,Paoli/Thorndale Line Regional Rail,FALSE
TRUE,14,40.0704511,-75.2112664,Highland Station,TRUE,Regional Rail,Chestnut Hill West Regional Rail,FALSE
TRUE,15,40.1607688,-74.9131025,Langhorne Station,TRUE,Regional Rail,West Trenton Line Regional Rail,FALSE
TRUE,16,40.1469256,-74.9621985,Neshaminy Falls Station,TRUE,Regional Rail,West Trenton Line Regional Rail,TRUE
FALSE,17,40.0513612,-75.1033938,Lawndale Station,FALSE,Regional Rail,Fox Chase Line Regional Rail,TRUE
TRUE,18,39.98969,-75.249545,Overbrook Station,TRUE,Regional Rail,Paoli/Thorndale Line Regional Rail,TRUE
TRUE,19,40.2143301,-75.2774329,North Wales Station,TRUE,Regional Rail,Lansdale/Doylestown Line Regional Rail,TRUE
TRUE,20,40.2350552,-74.8311128,Yardley Station,TRUE,Regional Rail,West Trenton Line Regional Rail,TRUE
TRUE,21,40.1402088,-74.9828185,Trevose Station,TRUE,Regional Rail,West Trenton Line Regional Rail,TRUE
TRUE,22,39.8336453,-75.3928401,Highland Avenue Station,TRUE,Regional Rail,Wilmington/Newark Line Regional Rail,FALSE
FALSE,24,39.9266348,-75.2902198,Clifton-Aldan Station,TRUE,Regional Rail,Media/Elwyn Line Regional Rail,FALSE
TRUE,25,40.0195261,-75.6218097,Exton Station,TRUE,Regional Rail,Paoli/Thorndale Line Regional Rail,TRUE
FALSE,26,40.0114656,-75.1920135,East Falls Station,TRUE,Regional Rail,Manayunk/Norristown Line Regional Rail,FALSE
FALSE,27,40.0141156,-75.3000009,Haverford Station,TRUE,Regional Rail,Paoli/Thorndale Line Regional Rail,FALSE
FALSE,28,40.0828893,-74.9336035,Eddington Station,FALSE,Regional Rail,Trenton Line Regional Rail,FALSE
TRUE,29,40.1125748,-75.3441734,Norristown Transportation Center Station,TRUE,Regional Rail,Manayunk/Norristown Line Regional Rail,FALSE
TRUE,30,40.2430727,-75.2851394,Lansdale Station,TRUE,Regional Rail,Lansdale/Doylestown Line Regional Rail,TRUE
TRUE,31,39.9079324,-75.3283187,Morton Station,TRUE,Regional Rail,Media/Elwyn Line Regional Rail,TRUE
TRUE,32,40.0734572,-75.196902,Wyndmoor Station,TRUE,Regional Rail,Chestnut Hill East Regional Rail,FALSE
FALSE,33,40.1208474,-75.1340896,Roslyn Station,TRUE,Regional Rail,Warminster Line Regional Rail,TRUE
TRUE,34,40.0146629,-75.6380776,Whitford Station,TRUE,Regional Rail,Paoli/Thorndale Line Regional Rail,FALSE
TRUE,35,40.297446,-75.1796364,New Britain Station,TRUE,Regional Rail,Lansdale/Doylestown Line Regional Rail,TRUE
FALSE,36,39.997562,-75.2513429,Merion Station,TRUE,Regional Rail,Paoli/Thorndale Line Regional Rail,FALSE
TRUE,37,40.2685104,-75.2541522,Colmar Station,TRUE,Regional Rail,Lansdale/Doylestown Line Regional Rail,TRUE
TRUE,38,40.0339903,-75.2354627,Ivy Ridge Station,TRUE,Regional Rail,Manayunk/Norristown Line Regional Rail,FALSE
TRUE,39,39.9923567,-75.154524,North Broad Station,FALSE,Regional Rail,Lansdale/Doylestown Line Regional Rail,TRUE
TRUE,40,40.0652159,-75.1911223,Mt. Airy Station,FALSE,Regional Rail,Chestnut Hill East Regional Rail,FALSE
